Vertexes Edges Elog(V) operations
15 20 78,13781 33
15 35 136,74117 64
15 50 195,34453 128
15 65 253,94789 135
15 80 312,55125 164
15 95 371,15461 245
25 20 92,87712 1
25 35 162,53497 93
25 50 232,19281 103
25 65 301,85065 181
25 80 371,50850 188
25 95 441,16634 227
35 20 102,58566 17
35 35 179,52491 6
35 50 256,46415 2
35 65 333,40340 84
35 80 410,34264 247
35 95 487,28189 275
45 20 109,83706 22
45 35 192,21486 5
45 50 274,59265 4
45 65 356,97045 89
45 80 439,34825 146
45 95 521,72604 296
55 20 115,62719 2
55 35 202,34759 1
55 50 289,06799 55
55 65 375,78838 4
55 80 462,50878 17
55 95 549,22917 340
65 20 120,44736 1
65 35 210,78287 1
65 50 301,11839 15
65 65 391,45391 14
65 80 481,78943 40
65 95 572,12494 224
80 20 126,43856 1
80 35 221,26748 1
80 50 316,09640 1
80 65 410,92533 5
80 80 505,75425 230
80 95 600,58317 2
95 20 131,39711 4
95 35 229,94495 2
95 50 328,49278 10
95 65 427,04061 100
95 80 525,58845 12
95 95 624,13628 94
